,Copies,Helstrom sim,Fidelity sim
0,1,0.6202429643788083,0.25596894484769417
0,2,0.7319109324159238,0.40817963681900643
0,3,0.7571974443219247,0.4951337832388397
0,4,0.7472537208706805,0.5411128933274815
0,5,0.7219787321629648,0.561493334886074
0,6,0.6906079730213672,0.5660422296302439
0,7,0.6576962878365011,0.5609744156469433
0,8,0.6255008677222502,0.5502442271763704
0,9,0.5950873665113302,0.5363615972015411
0,10,0.5668892015620295,0.5209105494960939
0,11,0.5410049177918639,0.5048803200987655
0,12,0.5173608230768074,0.48887780101698153
0,13,0.4958010281625315,0.4732643842628661
0,14,0.4761371776830452,0.4582443897427566
0,15,0.4581753951568623,0.44392233392405295
0,16,0.44173024602898925,0.4303400574544391
0,17,0.4266313184286986,0.41750078469134805
0,18,0.4127256608187468,0.4053846783584779
0,19,0.3998779609855726,0.39395884686477134
0,20,0.38796956130593147,0.3831837289848615
0,21,0.37689694062570783,0.3730171128754259
0,22,0.36657001844252785,0.3634166126992389
0,23,0.35691047483806365,0.35434114322780863
0,24,0.34785018438895304,0.345751747558183
0,25,0.3393298071954938,0.3376120113940017
0,26,0.33129754909643666,0.3298882171858855
0,27,0.3237080863770965,0.3225493385189366
0,28,0.31652164195434224,0.3155669401676715
0,29,0.30970319658307927,0.30891502611895616
0,30,0.3032218179322518,0.30256986258803553
0,31,0.29705009114214026,0.29650979298113
0,32,0.2911636359418335,0.2907150551431781
0,33,0.28554069713913005,0.28516760691175164
0,34,0.28016179705122674,0.27985096320677755
0,35,0.27500944009606837,0.27475004610654724
0,36,0.2700678612522198,0.2698510482506259
0,37,0.2653228114000552,0.26514130924070545
0,38,0.26076137368106134,0.26060920432833734
0,39,0.2563718059683189,0.2562440444818736
0,40,0.2521434053478157,0.25203598684608464
0,41,0.2480663911865297,0.24797595460189106
0,42,0.24413180392787528,0.24405556527089528
0,43,0.24033141722530735,0.2402670665706487
0,44,0.23665766141575825,0.23660327899945763
0,45,0.2331035566592048,0.23305754440617613
0,46,0.22966265434028918,0.22962367987610088
0,47,0.2263289855518358,0.22629593633596284
0,48,0.22309701566626178,0.22306896134764756
0,49,0.21996160415579047,0.21993776562097592
0,50,0.21691796895145032,0.2168976928305782
0,51,0.21396165473856038,0.21394439237067484
0,52,0.2110885046764733,0.21107379472492815
0,53,0.2082946351057743,0.20828208916675098
0,54,0.20557641286946796,0.20556570353917553
0,55,0.20293043492793936,0.2029212858929629
0,56,0.20035350999239837,0.20034568778760836
0,57,0.19784264193945264,0.19783594908265958
0,58,0.19539501480161697,0.1953892840666909
0,59,0.1930079791558691,0.19300306878877038
0,60,0.19067903975559658,0.19067482947256228
0,61,0.18840584427112855,0.18840223190663777
0,62,0.18618617302102128,0.18618307171635773
0,63,0.18401792959082894,0.18401526543305982
0,64,0.18189913224861926,0.1818968422853724
0,65,0.17982790607730026,0.1798259366455175
0,66,0.17780247575316854,0.1778007810705275
0,67,0.1758211589081771,0.17581969988455123
0,68,0.1738823600204667,0.1738811032539461
0,69,0.17198456478384103,0.17198348171173722
0,70,0.17012633491219983,0.1701254010923727
0,71,0.1683063033396655,0.1683054978415468
0,72,0.1665231697812216,0.16652247466928874
0,73,0.16477569662232883,0.16477509651757719
0,74,0.16306270510916016,0.1630621868164546
0,75,0.16138307181392844,0.16138262400505266
0,76,0.15973572535227784,0.1597353382961256
0,77,0.15811964333192513,0.15811930866462878
0,78,0.15653384951371915,0.15653356004264535
0,79,0.1549774111680407,0.15497716070453252
0,80,0.1534494366110387,0.15344921982758053
0,81,0.15194907290660584,0.1519488852147544
0,82,0.15047550372125798,0.15047534116724556
0,83,0.14902794732021205,0.14902780649560465
0,84,0.1476056546939788,0.14760553265916407
0,85,0.14620790780570359,0.14620780202432762
0,86,0.14483401795031922,0.14483392623306518
0,87,0.14348332421731727,0.14348324467367252
0,88,0.14215519204963403,0.14215512304648054
0,89,0.14084901189175023,0.1408489520177959
0,90,0.13956419792066996,0.1395641459558806
0,91,0.138300186853949,0.138300141743263
0,92,0.13705643682940097,0.13705639766011493
0,93,0.1358324263515403,0.13583239233384464
0,94,0.1346276533001907,0.13462762375040674
0,95,0.13344163399705297,0.1334416083231922
0,96,0.13227390232633623,0.13227388001565232
0,97,0.13112400890585454,0.13112398951410925
0,98,0.12999152030525776,0.12999150344746158
0,99,0.12887601830831674,0.1288760036507376
0,100,0.12777709921639668,0.1277770864696603
