,Copies,Helstrom sim,Fidelity sim
0,1,0.3412015775807182,0.12940530239881287
0,2,0.46625194403596953,0.240587153501671
0,3,0.5521563352978134,0.33610771739267126
0,4,0.6169129930070562,0.4181600517257534
0,5,0.6678266856186681,0.48862264762039304
0,6,0.708805854428495,0.5491057066359195
0,7,0.7422622906212059,0.6009904373411976
0,8,0.7698207982999802,0.6454624502948657
0,9,0.7926427288778145,0.6835401596080292
0,10,0.8115939820893512,0.7160989562040042
0,11,0.8273407274598011,0.7438917978682066
0,12,0.840407892758073,0.7675667604101031
0,13,0.8512169123052807,0.787682009586153
0,14,0.8601111873872624,0.8047185822320109
0,15,0.8673738932441699,0.8190913051346035
0,16,0.8732408174880143,0.8311581297132801
0,17,0.8779098580793907,0.8412281180493483
0,18,0.8815482070559143,0.8495682799306149
0,19,0.8842978885778273,0.8564094302970302
0,20,0.8862800995669353,0.8619512108936447
0,21,0.8875986612053685,0.8663663983120363
0,22,0.8883427981004797,0.8698046023053323
0,23,0.8885894007099487,0.8723954427712153
0,24,0.8884048847569912,0.8742512806714747
0,25,0.8878467321692861,0.8754695670265459
0,26,0.8869647773488007,0.8761348646785834
0,27,0.885802287623624,0.8763205894957848
0,28,0.8843968757761417,0.8760905108742258
0,29,0.8827812744006219,0.8755000455962574
0,30,0.8809839957133933,0.8745973741707144
0,31,0.8790298957650579,0.873424404577952
0,32,0.8769406583985346,0.8720176047612832
0,33,0.8747352114838386,0.8704087221517014
0,34,0.872430085742955,0.8686254059056088
0,35,0.8700397247126607,0.8666917453085934
0,36,0.8675767529745302,0.8646287358950777
0,37,0.8650522086317138,0.8624546832061452
0,38,0.8624757450730229,0.8601855527147794
0,39,0.8598558062921503,0.857835273254913
0,40,0.8571997793899047,0.8554160002684063
0,41,0.8545141273540999,0.8529383443074985
0,42,0.85180450476495,0.8504115694781722
0,43,0.8490758586976629,0.8478437658641031
0,44,0.8463325167758925,0.8452419994160861
0,45,0.8435782640596501,0.8426124423150161
0,46,0.8408164102212987,0.8399604864061153
0,47,0.838049848266639,0.8372908419494006
0,48,0.8352811058897562,0.8346076236269717
0,49,0.8325123904055303,0.8319144254860886
0,50,0.829745628079316,0.8292143862709829
0,51,0.8269824985658445,0.8265102464015768
0,52,0.8242244650766487,0.8238043976892099
0,53,0.821472800815086,0.821098926734165
0,54,0.8187286121485655,0.8183956528244517
0,55,0.8159928589271946,0.8156961610467623
0,56,0.8132663723058658,0.8130018312267788
0,57,0.8105498703812267,0.8103138632348065
0,58,0.807843971915495,0.8076332991224374
0,59,0.8051492083846442,0.8049610424950727
0,60,0.8024660345585071,0.8022978754724222
0,61,0.7997948377942435,0.7996444735432288
0,62,0.7971359462018573,0.7970014185809238
0,63,0.7944896358205426,0.7943692102524552
0,64,0.7918561369273559,0.7917482760224732
0,65,0.7892356395845274,0.7891389799293362
0,66,0.7866282985185654,0.7865416302865949
0,67,0.784034237412664,0.783956486444121
0,68,0.7814535526839332,0.7813837647259227
0,69,0.7788863168080441,0.7788236436468293
0,70,0.7763325812462337,0.7762762684973055
0,71,0.7737923790228102,0.7737417553743778
0,72,0.7712657269953946,0.7712201947268683
0,73,0.7687526278549687,0.7687116544745137
0,74,0.7662530718882621,0.7662161827531491
0,75,0.7637670385310192,0.7637338103315909
0,76,0.7612944977372408,0.7612645527401763
0,77,0.75883541118639,0.7588084121459554
0,78,0.7563897333479744,0.75636537900522
0,79,0.7539574124204356,0.7539354335202205
0,80,0.7515383911593522,0.7515185469236542
0,81,0.7491326076080713,0.7491146826116257
0,82,0.7467399957423438,0.7467237971431638
0,83,0.7443604860391138,0.7443458411222803
0,84,0.7419940059784298,0.7419807599765281
0,85,0.7396404804863572,0.7396284946443618
0,86,0.7372998323258111,0.737288982182067
0,87,0.73497198244142,0.7349621562998184
0,88,0.7326568502638195,0.732647947835146
0,89,0.7303543539780997,0.7303462851712098
0,90,0.7280644107605975,0.7280570946063161
0,91,0.7257869369876976,0.7257803006803967
0,92,0.7235218484199253,0.723515826463452
0,93,0.7212690603641614,0.7212635938103693
0,94,0.7190284878165509,0.7190235235860465
0,95,0.7168000455882737,0.7167955358642124
0,96,0.7145836484162442,0.7145795501029969
0,97,0.7123792110603778,0.7123754852999455
0,98,0.7101866483890312,0.7101832601287957
0,99,0.7080058754539564,0.7080027930601355
0,100,0.7058368075559619,0.705834002467772
0,101,0.7036793603023531,0.703676806722425
